ticker name,start index,end index,price
INDSWFTLAB,2026-01-16,2026-01-28,138.79
RALLIS,2026-01-22,2026-02-03,278.4
STYLEBAAZA,2026-01-19,2026-01-29,354.9
UNIONBANK,2026-01-14,2026-01-23,179.98
